GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
0100000US,,United States,310M200US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89633,90956,91868,93627,95456,96021
0100000US,,United States,310M200US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383166,388174,392404,397414,398642,399790
0100000US,,United States,310M200US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345066,345563,349048,351213,354289,357029,358880
0100000US,,United States,310M200US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118437,117768,117286,116575,115993,115620
0100000US,,United States,310M200US11540,11540,"United States - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,225666,225944,227482,228641,229927,231483,233007
0100000US,,United States,310M200US11700,11700,"United States - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,424860,425462,428387,431983,437267,441782,446840
0100000US,,United States,310M200US12020,12020,"United States - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",192541,192541,193451,194618,196397,197892,199029,203189
0100000US,,United States,310M200US12060,12060,"United States - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286727,5303758,5374179,5455324,5523527,5615364,5710795
0100000US,,United States,310M200US12100,12100,"United States - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274549,274549,274761,275078,275763,276321,275499,274219
0100000US,,United States,310M200US12220,12220,"United States - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140247,140296,140782,144087,147899,151506,154426,156993
0100000US,,United States,310M200US12260,12260,"United States - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",564873,564873,566568,570891,576560,579957,583338,590146
0100000US,,United States,310M200US12420,12420,"United States - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",1716289,1716313,1727627,1781409,1835298,1884439,1943465,2000860
0100000US,,United States,310M200US12540,12540,"United States - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",839631,839631,841682,849949,856576,865787,874190,882176
0100000US,,United States,310M200US12580,12580,"United States - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2710489,2710575,2715561,2735306,2755992,2773536,2786853,2797407
0100000US,,United States,310M200US12620,12620,"United States - Bangor, ME Metro Area","Bangor, ME Metro Area",153923,153920,153871,153822,153607,153527,153535,152692
0100000US,,United States,310M200US12700,12700,"United States - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",215888,215888,215930,215339,214806,214685,214665,214333
0100000US,,United States,310M200US12940,12940,"United States - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",802484,802500,804309,808469,814757,820106,825499,830480
0100000US,,United States,310M200US12980,12980,"United States - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",136146,136148,136025,135291,134750,134772,134821,134314
0100000US,,United States,310M200US13020,13020,"United States - Bay City, MI Metro Area","Bay City, MI Metro Area",107771,107771,107695,107497,107121,106958,106256,105659
0100000US,,United States,310M200US13140,13140,"United States - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",403190,403190,403701,405204,403778,405433,405644,408419
0100000US,,United States,310M200US13220,13220,"United States - Beckley, WV Metro Area","Beckley, WV Metro Area",124898,124901,124897,125115,124963,124181,123366,122507
0100000US,,United States,310M200US13380,13380,"United States - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201140,201570,203415,204961,206349,208491,212284
0100000US,,United States,310M200US13460,13460,"United States - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157733,157839,159765,161749,165930,170398,175268
0100000US,,United States,310M200US13740,13740,"United States - Billings, MT Metro Area","Billings, MT Metro Area",158934,158934,159355,160789,162883,165210,166853,168283
0100000US,,United States,310M200US13780,13780,"United States - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251723,251456,250401,249157,248432,247446,246020
0100000US,,United States,310M200US13820,13820,"United States - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128056,1128879,1130905,1133993,1139018,1142823,1145647
0100000US,,United States,310M200US13900,13900,"United States - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114778,115293,117137,120047,123812,126668,129517
0100000US,,United States,310M200US13980,13980,"United States - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178258,178525,178890,179502,180836,181438,181747
0100000US,,United States,310M200US14010,14010,"United States - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186444,187368,189102,191271,190356,189413
0100000US,,United States,310M200US14020,14020,"United States - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159542,160139,161838,162687,163272,164605,165577
0100000US,,United States,310M200US14100,14100,"United States - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85669,85298,85395,85593,85578,85229
0100000US,,United States,310M200US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616561,618020,627647,637653,650097,664707,676909
0100000US,,United States,310M200US14460,14460,"United States - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4565410,4608426,4652342,4698356,4739385,4774321
0100000US,,United States,314M200US1446014454,1446014454,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Boston, MA Metro Division","Boston, MA Metro Division",1887792,1887745,1893962,1912979,1932117,1952426,1969547,1984537
0100000US,,United States,314M200US1446015764,1446015764,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Cambridge-Newton-Framingham, MA Metro Division","Cambridge-Newton-Framingham, MA Metro Division",2246244,2246301,2252896,2275423,2297764,2322448,2343009,2361182
0100000US,,United States,314M200US1446040484,1446040484,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Rockingham County-Strafford County, NH Metro Division","Rockingham County-Strafford County, NH Metro Division",418366,418366,418552,420024,422461,423482,426829,428602
0100000US,,United States,310M200US14500,14500,"United States - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294571,295986,300671,305548,310706,313864,319372
0100000US,,United States,310M200US14540,14540,"United States - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158599,159154,160716,162102,164022,165947,168436
0100000US,,United States,310M200US14740,14740,"United States - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251133,251723,254458,254764,253325,254525,260131
0100000US,,United States,310M200US14860,14860,"United States - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916850,919744,929013,935238,941793,945816,948053
0100000US,,United States,310M200US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406219,407626,413130,415977,418071,420400,422156
0100000US,,United States,310M200US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112540,113010,113360,113876,114758,116003
0100000US,,United States,310M200US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135551,1135566,1135593,1135198,1136008,1136642,1135230
0100000US,,United States,310M200US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151241,151581,152947,153822,154886,156357,158276
0100000US,,United States,310M200US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211554,212886,213968,215177,216335,217042
0100000US,,United States,310M200US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105151,105758,107779,109019,109510,110350,111413
0100000US,,United States,310M200US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404420,404286,403186,403390,403299,403847,402976
0100000US,,United States,310M200US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620532,631368,644865,660929,679233,701982
0100000US,,United States,310M200US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96443,97062,97235,97216,97579,97534
0100000US,,United States,310M200US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126821,127043,125742,127012,126651,126828
0100000US,,United States,310M200US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,55030,54756,54598,54057,54480,54521
0100000US,,United States,310M200US16220,16220,"United States - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75472,76420,78699,81156,81603,82178
0100000US,,United States,310M200US16300,16300,"United States - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257940,258409,260896,261757,262350,263974,266040
0100000US,,United States,310M200US16540,16540,"United States - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149948,151037,151618,152181,152951,153638
0100000US,,United States,310M200US16580,16580,"United States - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232290,233313,234583,236022,237579,238984
0100000US,,United States,310M200US16620,16620,"United States - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227071,226895,225783,225735,224654,222824,220614
0100000US,,United States,310M200US16700,16700,"United States - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664643,667496,681220,697040,711405,726969,744526
0100000US,,United States,310M200US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2223672,2256845,2295310,2336266,2379177,2426363
0100000US,,United States,310M200US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218707,219094,221300,223085,224590,226860,229514
0100000US,,United States,310M200US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528145,529220,533350,538148,542149,544197,547776
0100000US,,United States,310M200US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92271,92663,94894,96006,96469,97121
0100000US,,United States,310M200US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461537,9471357,9495578,9520766,9545362,9557294,9551031
0100000US,,United States,314M200US1698016974,1698016974,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Chicago-Naperville-Arlington Heights, IL Metro Division","Chicago-Naperville-Arlington Heights, IL Metro Division",7262718,7263098,7270900,7295444,7319196,7339934,7347318,7340454
0100000US,,United States,314M200US1698020994,1698020994,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Elgin, IL Metro Division","Elgin, IL Metro Division",620429,620466,621246,624304,626101,628357,632194,635199
0100000US,,United States,314M200US1698023844,1698023844,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Gary, IN Metro Division","Gary, IN Metro Division",708070,708138,708291,707828,706497,705579,705418,703031
0100000US,,United States,314M200US1698029404,1698029404,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Lake County-Kenosha County, IL-WI Metro Division","Lake County-Kenosha County, IL-WI Metro Division",869888,869835,870920,868002,868972,871492,872364,872347
0100000US,,United States,310M200US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",220000,220000,219977,220019,221205,222154,224033,225411
0100000US,,United States,310M200US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114755,2117863,2123412,2129877,2137868,2148450,2157719
0100000US,,United States,310M200US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260610,261691,264464,275353,273211,277894,281021
0100000US,,United States,310M200US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115788,115963,116738,117817,118557,119769,120864
0100000US,,United States,310M200US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077246,2075661,2068349,2064321,2064854,2064079,2060810
0100000US,,United States,310M200US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138494,138910,141056,142292,144289,147245,150346
0100000US,,United States,310M200US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228660,229473,231418,234108,237880,242919,249156
0100000US,,United States,310M200US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645611,650366,660276,669051,678384,686252,697856
0100000US,,United States,310M200US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162642,163200,166000,168730,171126,173019,174974
0100000US,,United States,310M200US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767477,769692,776718,784044,791820,800011,810068
0100000US,,United States,310M200US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295531,296500,302636,311905,317443,314342,313749
0100000US,,United States,310M200US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76846,77630,78924,79505,80220,81162
0100000US,,United States,310M200US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902015,1906439,1925973,1946452,1970511,1997308,2021632
0100000US,,United States,310M200US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,427997,431018,436958,443362,448351,452422
0100000US,,United States,310M200US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85581,85565,86025,86441,86024,86414,87572
0100000US,,United States,310M200US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,236005,238850,247506,252883,257209,262172
0100000US,,United States,310M200US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103299,103253,102667,101900,101365,100611,99979
0100000US,,United States,310M200US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426214,6452614,6574298,6709559,6822353,6958092,7102796
0100000US,,United States,314M200US1910019124,1910019124,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Dallas-Plano-Irving, TX Metro Division","Dallas-Plano-Irving, TX Metro Division",4230520,4230031,4248610,4335904,4432872,4511504,4607586,4707151
0100000US,,United States,314M200US1910023104,1910023104,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Fort Worth-Arlington, TX Metro Division","Fort Worth-Arlington, TX Metro Division",2195694,2196183,2204004,2238394,2276687,2310849,2350506,2395645
0100000US,,United States,310M200US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142317,142531,142616,142384,142971,143781
0100000US,,United States,310M200US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81613,81386,80804,80530,79837,79282
0100000US,,United States,310M200US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183193,186659,190396,195126,199713,203709
0100000US,,United States,310M200US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,380236,381147,382890,384089,383995,383606
0100000US,,United States,310M200US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799216,800303,801389,802296,801622,801145,800909
0100000US,,United States,310M200US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153908,153990,153888,153221,153082,152680
0100000US,,United States,310M200US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110780,110630,110103,109550,108381,107303
0100000US,,United States,310M200US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,590688,591838,595703,601402,610290,623279
0100000US,,United States,310M200US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543600,2554468,2601104,2648482,2700086,2755856,2814330
0100000US,,United States,310M200US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571981,580949,589670,600263,612156,622899
0100000US,,United States,310M200US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4291288,4287427,4294049,4297081,4301480,4302043
0100000US,,United States,314M200US1982019804,1982019804,"United States - Detroit-Warren-Dearborn, MI Metro Area - Detroit-Dearborn-Livonia, MI Metro Division","Detroit-Dearborn-Livonia, MI Metro Division",1820584,1820641,1815199,1801273,1792514,1775713,1766008,1759335
0100000US,,United States,314M200US1982047664,1982047664,"United States - Detroit-Warren-Dearborn, MI Metro Area - Warren-Troy-Farmington Hills, MI Metro Division","Warren-Troy-Farmington Hills, MI Metro Division",2475666,2475672,2476089,2486154,2501535,2521368,2535472,2542708
0100000US,,United States,310M200US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145639,145870,146661,147610,147568,147993,148171
0100000US,,United States,310M200US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",162310,162349,162990,165242,167611,169385,171773,173533
0100000US,,United States,310M200US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93924,94612,95227,95981,96587,97125
0100000US,,United States,310M200US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279746,279849,279526,279781,279983,279601
0100000US,,United States,310M200US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506631,508123,516010,525221,533829,543217,552493
0100000US,,United States,310M200US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169842,169906,169876,168579,167310,167242,166397
0100000US,,United States,310M200US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161390,161652,162850,163925,164951,165085,165636
0100000US,,United States,310M200US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174750,176372,177557,177579,179332,180191
0100000US,,United States,310M200US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148351,149940,151330,150476,151573,151895,148604
0100000US,,United States,310M200US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197471,198509,199229,200476,201739,203474
0100000US,,United States,310M200US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88842,88969,88997,89277,88523,87469,87071
0100000US,,United States,310M200US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,807102,823426,835201,835769,838756,838972
0100000US,,United States,310M200US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",280566,280566,280774,281116,281076,280117,278936,278045
0100000US,,United States,310M200US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351715,351966,353637,354610,355650,358506,362895
0100000US,,United States,310M200US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311552,311817,312642,313389,314454,315137,315693
0100000US,,United States,310M200US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97581,98289,98146,100370,101007,99371,99631
0100000US,,United States,310M200US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209419,213082,217727,223695,228557,233836
0100000US,,United States,310M200US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130140,128016,128359,126564,123990,118737
0100000US,,United States,310M200US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366383,367623,373337,373605,377479,377458,376509
0100000US,,United States,310M200US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,465802,474343,483158,492352,502064,513559
0100000US,,United States,310M200US22380,22380,"United States - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134437,134626,134182,135978,136612,137637,139097
0100000US,,United States,310M200US22420,22420,"United States - Flint, MI Metro Area","Flint, MI Metro Area",425790,425790,425057,421784,418110,415695,412934,410849
0100000US,,United States,310M200US22500,22500,"United States - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205683,205714,206156,206186,206756,206448
0100000US,,United States,310M200US22520,22520,"United States - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147137,147137,147261,147061,147152,147200,147543,146950
0100000US,,United States,310M200US22540,22540,"United States - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101633,101633,101712,101898,101856,101865,102010,101973
0100000US,,United States,310M200US22660,22660,"United States - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",299630,299630,300524,305314,310970,316618,324657,333577
0100000US,,United States,310M200US22900,22900,"United States - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280467,280515,280681,281006,280810,280041,279821,280241
0100000US,,United States,310M200US23060,23060,"United States - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416257,416254,416912,419838,421851,424448,426940,429820
0100000US,,United States,310M200US23420,23420,"United States - Fresno, CA Metro Area","Fresno, CA Metro Area",930450,930452,932462,940971,947713,955217,964983,974861
0100000US,,United States,310M200US23460,23460,"United States - Gadsden, AL Metro Area","Gadsden, AL Metro Area",104430,104427,104442,104236,104235,103852,103452,103057
0100000US,,United States,310M200US23540,23540,"United States - Gainesville, FL Metro Area","Gainesville, FL Metro Area",264275,264274,264619,266674,268547,270173,273495,277163
0100000US,,United States,310M200US23580,23580,"United States - Gainesville, GA Metro Area","Gainesville, GA Metro Area",179684,179684,180003,182920,185012,187588,190525,193535
0100000US,,United States,310M200US23900,23900,"United States - Gettysburg, PA Metro Area","Gettysburg, PA Metro Area",101407,101417,101472,101657,101572,101525,101787,102295
0100000US,,United States,310M200US24020,24020,"United States - Glens Falls, NY Metro Area","Glens Falls, NY Metro Area",128923,128921,128976,128776,128462,127890,127356,126918
0100000US,,United States,310M200US24140,24140,"United States - Goldsboro, NC Metro Area","Goldsboro, NC Metro Area",122623,122623,122892,124028,124516,124597,124502,124132
0100000US,,United States,310M200US24220,24220,"United States - Grand Forks, ND-MN Metro Area","Grand Forks, ND-MN Metro Area",98461,98461,98616,98187,99198,101020,101779,102449
0100000US,,United States,310M200US24260,24260,"United States - Grand Island, NE Metro Area","Grand Island, NE Metro Area",81850,81850,82057,82698,83461,84099,84751,85066
0100000US,,United States,310M200US24300,24300,"United States - Grand Junction, CO Metro Area","Grand Junction, CO Metro Area",146723,146723,146489,147372,147720,147676,147890,148513
0100000US,,United States,310M200US24340,24340,"United States - Grand Rapids-Wyoming, MI Metro Area","Grand Rapids-Wyoming, MI Metro Area",988938,988940,989524,996733,1006814,1018291,1028962,1038583
0100000US,,United States,310M200US24420,24420,"United States - Grants Pass, OR Metro Area","Grants Pass, OR Metro Area",82713,82713,82868,82641,82791,83263,83606,84745
0100000US,,United States,310M200US24500,24500,"United States - Great Falls, MT Metro Area","Great Falls, MT Metro Area",81327,81327,81533,81772,81767,82367,82268,82278
0100000US,,United States,310M200US24540,24540,"United States - Greeley, CO Metro Area","Greeley, CO Metro Area",252825,252831,254166,258704,264117,270368,276379,285174
0100000US,,United States,310M200US24580,24580,"United States - Green Bay, WI Metro Area","Green Bay, WI Metro Area",306241,306241,306736,308771,311081,312514,314498,316519
0100000US,,United States,310M200US24660,24660,"United States - Greensboro-High Point, NC Metro Area","Greensboro-High Point, NC Metro Area",723801,723798,725068,730175,736015,741422,747397,752157
0100000US,,United States,310M200US24780,24780,"United States - Greenville, NC Metro Area","Greenville, NC Metro Area",168148,168148,168822,170782,172924,174339,175103,175842
0100000US,,United States,310M200US24860,24860,"United States - Greenville-Anderson-Mauldin, SC Metro Area","Greenville-Anderson-Mauldin, SC Metro Area",824112,824107,825782,833560,842067,850124,862533,874869
0100000US,,United States,310M200US25060,25060,"United States - Gulfport-Biloxi-Pascagoula, MS Metro Area","Gulfport-Biloxi-Pascagoula, MS Metro Area",370702,370787,371451,375726,379022,382558,386297,389255
0100000US,,United States,310M200US25180,25180,"United States - Hagerstown-Martinsburg, MD-WV Metro Area","Hagerstown-Martinsburg, MD-WV Metro Area",251599,251602,252384,254525,256233,257910,259817,261486
0100000US,,United States,310M200US25220,25220,"United States - Hammond, LA Metro Area","Hammond, LA Metro Area",121097,121101,121491,122644,123672,125413,126948,128755
0100000US,,United States,310M200US25260,25260,"United States - Hanford-Corcoran, CA Metro Area","Hanford-Corcoran, CA Metro Area",152982,152982,152367,151969,151201,150748,150108,150965
